2026-07-20 07:33:10,594 | INFO | STEP 1 : EXTRACT Started
2026-07-21 05:27:50,886 | INFO | STEP 1 : EXTRACT Completed
2026-07-21 05:27:50,886 | INFO | STEP 2 : TRANSFORM Started
2026-07-21 05:27:50,886 | INFO | Starting Transform Step
2026-07-21 05:27:50,917 | INFO | Transform completed successfully
2026-07-21 05:27:50,917 | INFO | STEP 2 : TRANSFORM Completed
2026-07-21 05:27:50,917 | INFO | STEP 3 : VALIDATE Started
2026-07-21 05:27:50,917 | INFO | Starting Validation Step
2026-07-21 05:27:50,928 | INFO | Validation completed successfully
2026-07-21 05:27:50,928 | INFO | STEP 3 : VALIDATE Completed
2026-07-21 05:27:50,928 | INFO | STEP 4 : INCREMENTAL LOAD Started
2026-07-21 05:27:50,929 | INFO | Starting Incremental Load
2026-07-21 05:27:50,939 | INFO | Incremental Load completed
2026-07-21 05:27:50,939 | INFO | STEP 4 : INCREMENTAL LOAD Completed
2026-07-21 05:27:50,939 | INFO | STEP 5 : LOAD Started
2026-07-21 05:27:50,939 | INFO | Starting Load Step
2026-07-21 05:27:50,941 | INFO | Load completed successfully
2026-07-21 05:27:50,941 | INFO | STEP 5 : LOAD Completed
2026-07-21 07:08:01,917 | INFO | STEP 1 : EXTRACT Started
2026-07-21 07:08:01,917 | INFO | Starting Extract Step
2026-07-21 07:08:01,925 | INFO | Extract completed successfully
2026-07-21 07:08:01,925 | INFO | STEP 1 : EXTRACT Completed
2026-07-21 07:08:01,925 | INFO | STEP 2 : TRANSFORM Started
2026-07-21 07:08:01,925 | INFO | Starting Transform Step
2026-07-21 07:08:01,933 | INFO | Transform completed successfully
2026-07-21 07:08:01,933 | INFO | STEP 2 : TRANSFORM Completed
2026-07-21 07:08:01,933 | INFO | STEP 3 : VALIDATE Started
2026-07-21 07:08:01,933 | INFO | Starting Validation Step
2026-07-21 07:08:01,944 | INFO | Validation completed successfully
2026-07-21 07:08:01,945 | INFO | STEP 3 : VALIDATE Completed
2026-07-21 07:08:01,945 | INFO | STEP 4 : INCREMENTAL LOAD Started
2026-07-21 07:08:01,945 | INFO | Starting Incremental Load
2026-07-21 07:08:01,955 | INFO | Incremental Load completed
2026-07-21 07:08:01,956 | INFO | STEP 4 : INCREMENTAL LOAD Completed
2026-07-21 07:08:01,956 | INFO | STEP 5 : LOAD Started
2026-07-21 07:08:01,956 | INFO | Starting Load Step
2026-07-21 07:08:01,957 | INFO | Load completed successfully
2026-07-21 07:08:01,957 | INFO | STEP 5 : LOAD Completed
2026-07-21 08:10:57,801 | INFO | Starting Extract Step
2026-07-21 08:10:57,809 | INFO | Extract completed successfully
2026-07-21 08:10:57,809 | INFO | Starting Transform Step
2026-07-21 08:10:57,820 | INFO | Transform completed successfully
2026-07-21 08:10:57,820 | INFO | Starting Validation Step
2026-07-21 08:10:57,831 | INFO | Validation completed successfully
2026-07-21 08:10:57,831 | INFO | Starting Incremental Load
2026-07-21 08:10:57,842 | INFO | Incremental Load completed
2026-07-21 08:10:57,842 | INFO | Starting Load Step
2026-07-21 08:10:57,843 | INFO | Load completed successfully
2026-07-23 05:45:30,143 | INFO | Starting Extract Step
2026-07-23 05:45:30,150 | INFO | Extract completed successfully
2026-07-23 05:45:30,151 | INFO | Starting Transform Step
2026-07-23 05:45:30,158 | INFO | Transform completed successfully
2026-07-23 05:45:30,159 | INFO | Starting Validation Step
2026-07-23 05:45:30,169 | INFO | Validation completed successfully
2026-07-23 05:45:30,169 | INFO | Starting Incremental Load
2026-07-23 05:45:30,184 | INFO | Incremental Load completed
2026-07-23 05:45:30,184 | INFO | Starting Load Step
2026-07-23 05:45:30,185 | INFO | Load completed successfully
